,TwittID,TextData,TweetCreatedAt,RetweetCount,TweetFavouriteCount,TweetSource,UserID,UserScreenName,UserName,UserCreatedAt,UserDescription,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,HttpCount,HashtagCount,MentionCount,TweetCount
0,1399689308945014786,RT @payaldhawanTOI: DSP Harjinder Singh is pleading to get funds for his transplant as COVID damaged his lungs. Asking @capt_amarinder to g…,2021-06-01 11:28:30,17,0,Twitter for iPhone,3582554773,rohanduaTOI,Rohan Dua,2015-09-16 12:15:20,Journalist @timesofindia.Ex-Reuters.Writing gives me a sense of gratification.I earn my livelihood out of it.Fiercely fearless.Views personal.RTs no endorsement,160,26888,1586,Chandigarh- J&K - Delhi - UP,0,0,2,42859
1,1399688584186056712,"RT @Anand_Journ: Tale of 2 stories, one by @ians_india that broke the story, and then 2 hrs later followup by one tv claiming its their exc…",2021-06-01 11:25:38,4,0,Twitter for iPhone,3582554773,rohanduaTOI,Rohan Dua,2015-09-16 12:15:20,Journalist @timesofindia.Ex-Reuters.Writing gives me a sense of gratification.I earn my livelihood out of it.Fiercely fearless.Views personal.RTs no endorsement,160,26888,1586,Chandigarh- J&K - Delhi - UP,0,0,2,42859
2,1399664021939228681,"Meeting to take place in evening

CBSE Class 10 and 12 Board exams 2021 were supposed to commence from May 4 but ha… https://t.co/PtNafTKhLa",2021-06-01 09:48:01,8,24,Twitter for iPhone,3582554773,rohanduaTOI,Rohan Dua,2015-09-16 12:15:20,Journalist @timesofindia.Ex-Reuters.Writing gives me a sense of gratification.I earn my livelihood out of it.Fiercely fearless.Views personal.RTs no endorsement,160,26888,1586,Chandigarh- J&K - Delhi - UP,1,0,0,42859
3,1399662322243694592,BIG BRK:PM @narendramodi to chair a key meet on Class 12 board exams. He will be briefed on all options following d… https://t.co/Gpv9mcgPtv,2021-06-01 09:41:16,28,108,Twitter for iPhone,3582554773,rohanduaTOI,Rohan Dua,2015-09-16 12:15:20,Journalist @timesofindia.Ex-Reuters.Writing gives me a sense of gratification.I earn my livelihood out of it.Fiercely fearless.Views personal.RTs no endorsement,160,26888,1586,Chandigarh- J&K - Delhi - UP,1,0,1,42859
4,1399645688040853510,"RT @timesofindia: Uttarakhand: Gurudwara Hemkund Sahib in Chamoli district covered under a thick blanket of snow

📷 - ANI https://t.co/JR59…",2021-06-01 08:35:10,25,0,Twitter for iPhone,3582554773,rohanduaTOI,Rohan Dua,2015-09-16 12:15:20,Journalist @timesofindia.Ex-Reuters.Writing gives me a sense of gratification.I earn my livelihood out of it.Fiercely fearless.Views personal.RTs no endorsement,160,26888,1586,Chandigarh- J&K - Delhi - UP,1,0,1,42859
5,1399645665785905158,RT @buitengebieden_: Marylin Monrowl.. https://t.co/WsCrDshPDA,2021-06-01 08:35:05,1118,0,Twitter for iPhone,3582554773,rohanduaTOI,Rohan Dua,2015-09-16 12:15:20,Journalist @timesofindia.Ex-Reuters.Writing gives me a sense of gratification.I earn my livelihood out of it.Fiercely fearless.Views personal.RTs no endorsement,160,26888,1586,Chandigarh- J&K - Delhi - UP,1,0,1,42859
6,1399642628199575553,"RT @SuvenduWB: Theatre of the absurd is playing out in West Bengal. 
For the sake of her own ego, to destroy India’s federal structure and…",2021-06-01 08:23:01,2886,0,Twitter for iPhone,3582554773,rohanduaTOI,Rohan Dua,2015-09-16 12:15:20,Journalist @timesofindia.Ex-Reuters.Writing gives me a sense of gratification.I earn my livelihood out of it.Fiercely fearless.Views personal.RTs no endorsement,160,26888,1586,Chandigarh- J&K - Delhi - UP,0,0,1,42859
7,1399642557194272769,"RT @BhanupratapsTOI: Rajasthan Congress MLA a violent husband: Son tweets, deletes | Jaipur News - Times of India https://t.co/mTFjW0eVNQ",2021-06-01 08:22:44,7,0,Twitter for iPhone,3582554773,rohanduaTOI,Rohan Dua,2015-09-16 12:15:20,Journalist @timesofindia.Ex-Reuters.Writing gives me a sense of gratification.I earn my livelihood out of it.Fiercely fearless.Views personal.RTs no endorsement,160,26888,1586,Chandigarh- J&K - Delhi - UP,1,0,1,42859
8,1399434071520944128,"RT @myogiadityanath: वात्सल्य ग्राम, वृंदावन में ""वात्सल्य कोविड केयर सेंटर"" का वर्चुअल माध्यम से शुभारंभ... https://t.co/bs49PeCcpY",2021-05-31 18:34:17,1342,0,Twitter for iPhone,3582554773,rohanduaTOI,Rohan Dua,2015-09-16 12:15:20,Journalist @timesofindia.Ex-Reuters.Writing gives me a sense of gratification.I earn my livelihood out of it.Fiercely fearless.Views personal.RTs no endorsement,160,26888,1586,Chandigarh- J&K - Delhi - UP,1,0,1,42859
9,1399434017888374788,"RT @ashokgehlot51: राज्य में संक्रमण की दर कम हुई है, लेकिन अभी संक्रमण पूरी तरह समाप्त नहीं हुआ है। इसको ध्यान में रखते हुए नई गाइडलाइन…",2021-05-31 18:34:04,574,0,Twitter for iPhone,3582554773,rohanduaTOI,Rohan Dua,2015-09-16 12:15:20,Journalist @timesofindia.Ex-Reuters.Writing gives me a sense of gratification.I earn my livelihood out of it.Fiercely fearless.Views personal.RTs no endorsement,160,26888,1586,Chandigarh- J&K - Delhi - UP,0,0,1,42859
