,TwittID,TextData,TweetCreatedAt,RetweetCount,TweetFavouriteCount,TweetSource,UserID,UserScreenName,UserName,UserCreatedAt,UserDescription,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation
0,1399695291293605894,Let me undress you for kiss your sexy body everywhere https://t.co/QQhjiPwEsp,2021-06-01 11:52:17,0,1,Twitter Web App,1084687742032924674,josef_morasch,Josef Morasch,2019-01-14 05:44:45,,0,416,1747,
1,1399694173217951747,More https://t.co/V4eRvaB8y4,2021-06-01 11:47:50,0,1,Twitter Web App,1084687742032924674,josef_morasch,Josef Morasch,2019-01-14 05:44:45,,0,416,1747,
2,1399694043299430402,"RT @mandigxxx: Deer in the headlights👀 when these babies are out and about
https://t.co/G3AoUaHC3y https://t.co/p0A60fFb5x",2021-06-01 11:47:19,16,0,Twitter Web App,1084687742032924674,josef_morasch,Josef Morasch,2019-01-14 05:44:45,,0,416,1747,
3,1399693791993421827,"RT @MorganColeHot: I wanna taste bigg dickk ahhh yess
RT if u give me https://t.co/z2616HZJB2",2021-06-01 11:46:19,35,0,Twitter Web App,1084687742032924674,josef_morasch,Josef Morasch,2019-01-14 05:44:45,,0,416,1747,
4,1399693642688778251,RT @jenicesexy7: RT if you want to chat with me on the DM. https://t.co/RsUEG9E9To,2021-06-01 11:45:44,74,0,Twitter Web App,1084687742032924674,josef_morasch,Josef Morasch,2019-01-14 05:44:45,,0,416,1747,
5,1399693447565545474,RT @sexybigtitsmilf: https://t.co/8rb71JZ05S,2021-06-01 11:44:57,9,0,Twitter Web App,1084687742032924674,josef_morasch,Josef Morasch,2019-01-14 05:44:45,,0,416,1747,
6,1399675019547000832,RT @BBW2Milf: Meet Hot Milfs Seeking Now. Easy &amp; Discreet. https://t.co/nMIWsvEqte Join for Free! https://t.co/kWa1N2qu8C,2021-06-01 10:31:44,5,0,Twitter Web App,1084687742032924674,josef_morasch,Josef Morasch,2019-01-14 05:44:45,,0,416,1747,
7,1399674860520062976,RT @naughtyscots: who's fucking me tonight then? https://t.co/Yl4KqZrWxB,2021-06-01 10:31:06,8,0,Twitter Web App,1084687742032924674,josef_morasch,Josef Morasch,2019-01-14 05:44:45,,0,416,1747,
8,1399674770485022722,Hello sexy Lady https://t.co/VIFgNdJBk6,2021-06-01 10:30:44,0,0,Twitter Web App,1084687742032924674,josef_morasch,Josef Morasch,2019-01-14 05:44:45,,0,416,1747,
9,1399674666969612288,RT @NylonKadee26: Good morning 💋 https://t.co/JR9Pcv4s3X,2021-06-01 10:30:19,36,0,Twitter Web App,1084687742032924674,josef_morasch,Josef Morasch,2019-01-14 05:44:45,,0,416,1747,
10,1399590283923398662,RT @Taikoshep: finally my true form revealed 🏳️‍🌈 https://t.co/AdG6vNSw7t,2021-06-01 04:55:01,335,0,Twitter for iPhone,953478264617611265,hyenafluff,big gay flannel shirt,2018-01-17 04:05:07,"26, he/him. hyena named sax enjoying himself and his big dumb body. Expect occasional horny kink stuff. NSFW, 18+ only. Icon by @wildyena",137,624,581,Nebraska
11,1399462785768214529,RT @jpalmerdubs: @UnvirtuousAbbey omg https://t.co/rXPkrRJkQr,2021-05-31 20:28:23,186,0,Twitter for iPhone,953478264617611265,hyenafluff,big gay flannel shirt,2018-01-17 04:05:07,"26, he/him. hyena named sax enjoying himself and his big dumb body. Expect occasional horny kink stuff. NSFW, 18+ only. Icon by @wildyena",137,624,581,Nebraska
12,1399440256689135628,"RT @TooMuchDynamite: I’m in the mood to do some commissions!

Taking 5 flat color pieces, $120 each. DM me a ref to reserve a spot. 🍬🐺💜 htt…",2021-05-31 18:58:52,359,0,Twitter for iPhone,953478264617611265,hyenafluff,big gay flannel shirt,2018-01-17 04:05:07,"26, he/him. hyena named sax enjoying himself and his big dumb body. Expect occasional horny kink stuff. NSFW, 18+ only. Icon by @wildyena",137,624,581,Nebraska
13,1399440119770370049,RT @TY_PESH: lets close out mermay with some good old fashioned hell sirens https://t.co/7nHsCKy8yi,2021-05-31 18:58:19,55,0,Twitter for iPhone,953478264617611265,hyenafluff,big gay flannel shirt,2018-01-17 04:05:07,"26, he/him. hyena named sax enjoying himself and his big dumb body. Expect occasional horny kink stuff. NSFW, 18+ only. Icon by @wildyena",137,624,581,Nebraska
14,1399211937867653123,"RT @oldshep168: ""Still think those supps don't work?""

Maybe Corey should go to the gym with Logan more often ;3 https://t.co/gxyTYb8EY2",2021-05-31 03:51:36,513,0,Twitter for iPhone,953478264617611265,hyenafluff,big gay flannel shirt,2018-01-17 04:05:07,"26, he/him. hyena named sax enjoying himself and his big dumb body. Expect occasional horny kink stuff. NSFW, 18+ only. Icon by @wildyena",137,624,581,Nebraska
15,1399195638701637632,"RT @werelemurs: [Repost for corrected @!]
It’s getting close to summer time, so Joel knows how to both turn the heat up and also chill it d…",2021-05-31 02:46:50,78,0,Twitter for iPhone,953478264617611265,hyenafluff,big gay flannel shirt,2018-01-17 04:05:07,"26, he/him. hyena named sax enjoying himself and his big dumb body. Expect occasional horny kink stuff. NSFW, 18+ only. Icon by @wildyena",137,624,581,Nebraska
16,1399138671765430283,RT @thebluebear27: Valentino https://t.co/7A23CMvPJC,2021-05-30 23:00:28,304,0,Twitter for iPhone,953478264617611265,hyenafluff,big gay flannel shirt,2018-01-17 04:05:07,"26, he/him. hyena named sax enjoying himself and his big dumb body. Expect occasional horny kink stuff. NSFW, 18+ only. Icon by @wildyena",137,624,581,Nebraska
17,1399044105863241735,RT @HungryBehemoth: My rat carlos repost https://t.co/tl5gqDujat,2021-05-30 16:44:42,38,0,Twitter for iPhone,953478264617611265,hyenafluff,big gay flannel shirt,2018-01-17 04:05:07,"26, he/him. hyena named sax enjoying himself and his big dumb body. Expect occasional horny kink stuff. NSFW, 18+ only. Icon by @wildyena",137,624,581,Nebraska
18,1399043565066416131,RT @HungryBehemoth: Repost of angry ferret camera man Eddie https://t.co/Wz7JZFGbXA,2021-05-30 16:42:33,13,0,Twitter for iPhone,953478264617611265,hyenafluff,big gay flannel shirt,2018-01-17 04:05:07,"26, he/him. hyena named sax enjoying himself and his big dumb body. Expect occasional horny kink stuff. NSFW, 18+ only. Icon by @wildyena",137,624,581,Nebraska
19,1399034356111347712,"RT @gunpowderblush: you can't just say it out loud like that, zoetrope, have some tact, you're in a denny's
ft @MonsterGrotto 's monty http…",2021-05-30 16:05:57,71,0,Twitter for iPhone,953478264617611265,hyenafluff,big gay flannel shirt,2018-01-17 04:05:07,"26, he/him. hyena named sax enjoying himself and his big dumb body. Expect occasional horny kink stuff. NSFW, 18+ only. Icon by @wildyena",137,624,581,Nebraska
20,1399270666889621506,RT @VenusLux: Another vid sold! Venus Lux Fucks an Angsty Teen https://t.co/jqWAZVRqgq #MVSales #MVTrans #ManyVids https://t.co/8tXCpUeKpy,2021-05-31 07:44:58,49,0,Twitter Web App,1338642147700953088,MattLov14455762,💋Matt Love💋,2020-12-15 00:29:02,"❤️💛💖👅💋Just relax & let daddy unleash your fantasies.
I do not own any of this content, just happy spreading the love ❤️💛💖👅💋",123,77,887,
