UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot
613357772,THChennai,20-06-2012 11:24,145,62144,297,"Chennai, India",0.466666667,0.266666667,1.166666667,9.7,11.7,21157,0
284920800,news18dotcom,20-04-2011 06:14,75,109825,161,India,0.6,0.933333333,0.333333333,5.366666667,6.366666667,78784,0
1943418931,polimernews,07-10-2013 08:07,102,237690,156,Chennai,2.3,1,0,1.7,10.96666667,85765,0
7.41E+17,MalaimurasuTv,09-06-2016 07:58,0,7449,323,"Chennai, India",0,1,0.9,0,0.133333333,38658,0
7.78E+17,newsglitzcom,19-09-2016 12:43,0,1271,1022,0,1.833333333,1.9,1.4,0.4,0.766666667,2482,0
1591105346,tangedconews,13-07-2013 14:12,0,989,118,Tirupur,0,0.466666667,0,0,0.233333333,2100,0
8.29E+17,Suyaatchi,07-02-2017 15:05,0,108,0,0,0,1,0,0,0.033333333,862,0
4087953322,Arappor,01-11-2015 06:03,23,6727,120,"Chennai, India",0.733333333,0.9,0.533333333,8.566666667,12.36666667,2173,0
1073676020,IndiaTodayFLASH,09-01-2013 12:46,62,1105348,118,0,1,0.466666667,1.366666667,10.4,0,210880,0
57279305,NatarajIPS,16-07-2009 08:20,159,2686,49,Chennai,0.166666667,0.633333333,0.2,8.1,1.666666667,548,0
28995530,vikatan,05-04-2009 14:32,23,535237,13,"Tamilnadu, India",1.466666667,0.966666667,0.033333333,8.3,28.9,116135,0
9.23E+17,fx16pix,24-10-2017 03:25,126,2257,627,"Chennai, India",0.766666667,1.033333333,1.466666667,5.5,34.5,6712,0
4889819537,deccanchennai,08-02-2016 21:13,151,520,87,"Chennai, India",1.1,0.566666667,2.566666667,1.9,0,1725,0
19519947,DeccanChronicle,26-01-2009 04:16,91,63043,187,India,1.066666667,0.9,0.2,0.7,1.766666667,297998,0
245687754,PTI_News,01-02-2011 07:31,35,1931329,1,"New Delhi, India",0.1,0.3,0.133333333,100.0333333,297.3,56116,0
442782547,BBCIndia,21-12-2011 13:19,91,131942,343,India,0.3,0.833333333,0.433333333,254.2333333,17.13333333,16040,0
442782547,BBCIndia,21-12-2011 13:19,91,131943,343,India,0.3,0.833333333,0.433333333,254.2333333,17.13333333,16040,0
241069726,tamil_murasu,21-01-2011 11:33,61,1731,23,Chennai,0,1.666666667,0,0.1,0.233333333,780,0
1704625526,TamilTheHindu,27-08-2013 12:52,15,366005,8,"Chennai, Tamil Nadu, India",1.833333333,1.1,0.066666667,1.466666667,12.06666667,120148,0
128609455,maalaimalar,01-04-2010 16:54,136,170508,450,"Chennai, India",1.466666667,1.166666667,0.3,1.8,8.5,191728,0
134758540,timesofindia,19-04-2010 10:50,153,11751572,509,New Delhi,0.6,1.366666667,0.466666667,5.3,24.8,463028,0
171825995,Andrew_Sesuraj,28-07-2010 07:35,87,624,451,"Chennai, India",0.066666667,0.866666667,0.1,0.033333333,0.633333333,515,0
8.99E+17,KarthiAk57,18-08-2017 18:37,23,1101,1238,India,0.266666667,0.333333333,1.333333333,51.43333333,0.2,3696,0
88643957,anilachankunju,09-11-2009 11:26,119,32,2,New Delhi,0.133333333,0.6,0.633333333,86.46666667,0,27,0
1.05E+18,itisaprashanth,23-10-2018 16:46,85,227,15,"Chennai, India",2.033333333,0.4,0.7,26.7,1.566666667,1051,0
1.01E+18,Vishnuaiadmk1,20-06-2018 04:41,31,456,60,"Cuddalore, India",0.2,0.6,0.8,160.6333333,2.933333333,147,0
1.01E+18,admk_surya,18-06-2018 07:45,0,112,12,0,0,0.033333333,0.033333333,0,0,1,0
1.01E+18,AdmkSivaranjan,20-06-2018 05:19,0,148,25,Salem,0.066666667,0.066666667,0.1,0.066666667,0,2,0
1.01E+18,rajivgandhi_n,19-06-2018 00:01,10,387,54,"Tiruchirapalli, India",0.2,0.7,0.733333333,12.63333333,3.266666667,48,0
1.01E+18,prabhaayyappan,18-06-2018 12:11,46,91,11,"Allinagaram, Theni",0,0.233333333,0.066666667,0,0.1,7,0
1.01E+18,admk_satheesh,11-06-2018 08:53,8,591,204,"Tamil Nadu, India",0,1,0,0.433333333,2.6,254,0
1.01E+18,Sai72100878,18-06-2018 09:27,0,217,29,"Chennai, India",0.1,0.066666667,0.033333333,0.066666667,0.133333333,3,0
1.01E+18,AdmkArun,14-06-2018 07:12,8,302,145,"Tiruppur, India",0.9,0.633333333,1.266666667,0.533333333,7.633333333,28,0
1.01E+18,SelvaMugavai,20-06-2018 02:04,0,176,55,0,0,0.2,0.3,0.1,1.233333333,6,0
1.01E+18,Veerasa23144200,19-06-2018 01:21,104,140,142,"Padmanabhapuram, Tamil Nadu",0.033333333,0.233333333,0.1,1.133333333,0.1,10,0
1.01E+18,SelvamAdmk,18-06-2018 10:20,0,125,11,"Coimbatore, India",0.033333333,0.033333333,0,0,0.033333333,1,0
1.01E+18,VHh0ryw5wTWZQgV,19-06-2018 12:27,9,411,142,"Tamil Nadu, India",0.3,0.266666667,0.333333333,0.766666667,2.333333333,12,0
1.01E+18,Jaganat39464129,18-06-2018 09:00,0,245,44,"Tirupathur, India",0.033333333,0.1,1.133333333,0.133333333,0.366666667,12,0
7.92E+17,maalaitamizhaga,27-10-2016 09:57,21,1147,4915,"Chennai, India",0,1,0,0.1,0.866666667,2603,0
1.01E+18,vijayadmk3,18-06-2018 05:40,19,432,220,"Salem, IN",0.933333333,0.8,1.1,6,0,130,0
7.36E+17,chandanmedia,27-05-2016 08:07,139,1455,364,"नई दिल्ली, भारत",0.966666667,0.766666667,0.966666667,195.4666667,5.366666667,3883,0
7.37E+17,SspGhaziabad,29-05-2016 13:05,0,53971,112,"गाज़ियाबाद, भारत",2.6,0.2,5.3,220,0,1953,0
8.97E+17,shivpal_rana,15-08-2017 06:30,36,24,49,0,0.033333333,0.233333333,0.133333333,0.033333333,0,7,0
7.75E+17,policemedianews,12-09-2016 14:34,98,4713,528,"नई दिल्ली, भारत",1.2,0.966666667,0.6,0.333333333,1.033333333,19148,0
4848168385,uppstf,02-02-2016 06:58,0,11090,63,"Lucknow, Uttar Pradesh",0.833333333,0.666666667,1.066666667,220.1666667,131.4333333,315,0
34245009,indiatvnews,22-04-2009 11:26,131,675330,28,India,2.1,1.833333333,0.333333333,10.86666667,32.3,426475,0
39743812,EconomicTimes,13-05-2009 12:54,120,3201871,44,0,1.7,0.833333333,0.6,2.933333333,4.533333333,386241,0
372754427,BBCHindi,13-09-2011 10:54,157,1122950,209,India/London,0.1,1.033333333,0.033333333,58.8,237.6666667,101591,0
1056850669,airnewsalerts,03-01-2013 04:15,114,2050934,15,"New Delhi, India",2.733333333,1.333333333,0.333333333,16.7,62.6,227527,0
98362607,News18India,21-12-2009 12:11,47,1035828,89,India,2.033333333,2,1.566666667,20.73333333,100.5333333,285841,0
39240673,abpnewstv,11-05-2009 12:25,40,8254265,165,India,2.333333333,1.933333333,0.6,20.3,99.3,194592,0
37034483,ndtv,01-05-2009 20:34,31,11375975,14,India,0.633333333,1.033333333,0.5,5.4,19.46666667,596778,0
37034483,ndtv,01-05-2009 20:34,31,11375976,14,India,0.633333333,1.033333333,0.5,5.4,19.46666667,596778,0
461841349,ZeeNewsHindi,12-01-2012 07:52,110,1868916,22,India,2.033333333,2.9,1.5,244.9666667,992.1666667,181026,0
177829660,THexplains,13-08-2010 04:41,74,592737,45,0,0.633333333,0.966666667,0.133333333,19.96666667,71.2,141753,0
29958928,TOIIndiaNews,09-04-2009 10:36,113,998792,22,"New Delhi, India",0,1,0,0.933333333,4.433333333,212603,0
123171317,NavbharatTimes,15-03-2010 06:49,103,758467,479,"Delhi, India",0.666666667,2.8,1.6,8.6,39.56666667,250352,0
2251588934,TheOfficialSBI,18-12-2013 07:27,158,3752949,20,0,0,0.866666667,1.1,0,0.033333333,347842,0
321271735,ndtvindia,21-06-2011 09:01,81,604495,35,New Delhi,0.2,2,0.066666667,63.4,245.8,116035,0
1966507722,DDNewsHindi,17-10-2013 10:22,121,615255,68,नई दिल्ली/भारत,0.4,0.933333333,0.1,96.2,115.4333333,91163,0
1734536606,News18_UK,06-09-2013 09:04,48,8764,42,"Dehradun, India",1.1,1,0.533333333,0.033333333,0.633333333,70674,0
1.03E+18,Dilipdubey03,26-08-2018 11:10,0,28,147,0,1.066666667,0.266666667,2.033333333,50.96666667,0.066666667,63,0
4743832831,upcopsachin,11-01-2016 15:17,157,4081,391,"Agra, India",0.4,0.4,2.3,89.16666667,11.56666667,3926,0
1331404556,AnjanaPed,06-04-2013 11:48,45,1108,796,0,0.233333333,0.4,2,1162,1.433333333,11218,0
1712709144,SkochSameer,30-08-2013 13:19,160,126294,1723,India,0.833333333,2.5,10.16666667,2545.233333,16.66666667,7697,0
7.23E+17,mobobistudios,20-04-2016 23:02,0,6679,3,0,0.166666667,0.533333333,1,1.466666667,5.266666667,55,0
7.23E+17,mobobistudios,20-04-2016 23:02,0,6678,3,0,0.166666667,0.533333333,1,1.466666667,5.266666667,55,0
3108258452,TAHLKANEWS,26-03-2015 12:06,129,2188,514,लखनऊ,0,1,0,0,0,96643,0
2318958582,rakeshbjpup,30-01-2014 14:05,82,3505,598,"Lucknow, India",0.233333333,0.5,1.6,150.0333333,80.33333333,5650,0
9.71E+17,CyberDost,05-03-2018 09:27,156,54217,76,India,9.6,6.4,4.8,704.2666667,2009.066667,432,0
7.93E+17,spgrpjhansi,01-11-2016 10:14,80,2372,90,"Jhansi, India",0,0.766666667,5.966666667,0.1,1.6,1653,0
1.01E+18,kumbhMelaPolUP,16-06-2018 17:14,102,10433,21,"Sangam, Prayagraj",4,1.2,13.46666667,821.4666667,108.6666667,1385,0
305086188,NBTMumbai,25-05-2011 16:27,90,7558,63,Mumbai,0.133333333,0.766666667,0.833333333,1.2,0,37578,0
444481070,AtulGargBJP,23-12-2011 09:14,133,17890,79,Ghaziabad,0.566666667,0.666666667,0.7,124.7,19.66666667,1726,0
1.03E+18,sdrf_up,09-08-2018 12:12,135,582,122,"Lucknow, India",0.6,0.5,0.6,9.166666667,27.16666667,20,0
4738670125,UD197,10-01-2016 14:16,107,417,230,0,0.033333333,0.366666667,4.866666667,338.7666667,0.966666667,1695,0
7.75E+17,SantoshMahiLko,11-09-2016 07:35,0,809,178,0,0.8,0.466666667,1.1,364.1,0.966666667,694,0
9.30E+17,devmuraribapu65,13-11-2017 12:45,127,92,147,"Vrindavan, India",0.033333333,0.633333333,0.7,0.033333333,0.7,22,0
9.63E+17,wpl1090,12-02-2018 08:31,103,3297,4,"Uttar Pradesh, India",0,0.2,3.4,0.8,2.733333333,758,0
78858865,927BIGFM,01-10-2009 09:41,60,301908,441,INDIA,0.966666667,0.9,0.7,5.233333333,10.73333333,19524,0
8.42E+17,BPRDIndia,16-03-2017 17:55,160,6051,152,India,0.566666667,0.733333333,0.566666667,15.63333333,6.966666667,1118,0
1.00E+18,fireserviceup,05-06-2018 05:43,91,332,41,"Lucknow, India",0.133333333,0.666666667,0.066666667,22.93333333,21,11,0
122658025,RajatSharmaLive,13-03-2010 12:52,39,3330365,22,Delhi,0.266666667,1,0.966666667,261.3,1022.833333,5163,0
136172389,skochgroup,23-04-2010 06:11,123,28472,250,India,1.166666667,5,2.5,16.66666667,44.83333333,3045,0
1535907986,Etahpolice,21-06-2013 06:46,129,13714,169,"Etah, UP, India",0.5,0.3,2,17.63333333,1.366666667,30895,0
1469482477,digbasti,30-05-2013 10:51,140,11595,11,0,0.366666667,0.333333333,1.233333333,160.5333333,5.366666667,1098,0
4833521534,digdevipatan,30-01-2016 05:05,151,2014,121,0,0.766666667,0.433333333,2.366666667,104.8,2,4785,0
2959280540,digmirzapur,05-01-2015 07:01,160,17353,205,"मिर्जापुर-विन्ध्याचल, भारत",0.533333333,0.133333333,2.1,57.16666667,0,7394,0
1469471533,ADGZonPrayagraj,30-05-2013 10:44,146,30020,236,"ADGOffice AshokNagar,Allahabad",0.366666667,0.366666667,2.266666667,70.4,4.5,9325,0
1476714007,adgzonevaranasi,02-06-2013 07:47,141,33446,75,IG OFFICE VARANASI,0.133333333,0.133333333,3.133333333,7.1,0.366666667,57081,0
7.11E+17,adgzonekanpur,19-03-2016 12:38,140,28421,178,"Kanpur, India",0,0.2,4.066666667,5.566666667,0.433333333,50608,0
1456517174,digmoradabad,25-05-2013 10:05,145,27077,27,"मुरादाबाद, उत्तर प्रदेश, भारत",0.633333333,0.033333333,2.933333333,12.4,0,239528,0
1398976800,igrangeagra,03-05-2013 06:29,138,17678,189,"Agra, India",1.8,0.066666667,3.733333333,76.33333333,0,47318,0
1469381294,shravastipolice,30-05-2013 09:54,132,6418,157,0,1.266666667,0.533333333,4.466666667,127.4333333,1.233333333,28760,0
1317707898,gorakhpurpolice,31-03-2013 04:41,134,17225,16,"गोरखपुर, भारत",0.333333333,0.933333333,5.4,45.06666667,6.466666667,7086,0
1471906255,kaushambipolice,31-05-2013 11:00,134,6551,169,"Uttar Pradesh, India",0.333333333,0.266666667,2.666666667,29.96666667,2.633333333,13014,0
2456384107,hathraspolice,21-04-2014 09:59,135,5492,232,0,0.533333333,0.266666667,2.566666667,14.33333333,0,37779,0
